"text","label"
"Pay ₹1000 registration fee to start internship",1
"No interview required, job confirmed instantly",1
"Limited seats available, apply immediately",1
"Earn ₹50,000 per week from home, no skills needed",1
"Selected candidates must pay security deposit",1
"We offer internships without interviews",1
"please pay a refundable security deposit",1
"No experience required",1
"exclusive work-from-home position",1
"download our app and login for more information",1
"you have been shortlisted you for job",1
"Make thousands of dollars a month working from home with little time and effort.",1
"You can be your own boss, start your own business, or set your own schedule.",1
"Exclusive work-from-home position.",1
"No experience required.",1
"We offer internships without interviews.",1
"Congrats! You’ve been selected for a remote task role. Earn daily income by rating hotels. Start today!",1
"Earn $3–$20 per task by helping optimize online content!",1
"Getting paid to shop sounds like a dream job.",1
"Positions available for quality control managers or virtual personal assistants.",1
"We came across your resume and think you’d be a perfect fit for our remote team!",1
"This is an amazing opportunity that pays extremely well and requires no prior experience.",1
"You'll make a lot of money in a short period of time with little work",1
"Flexible hours!!",1
"Guaranteed job offer after graduation",1
"Sounds too good to be true? It’s real!",1
"Minimal work, high pay",1
"Earn thousands in your first month",1
"Exclusive opportunity – don’t miss out",1
"Apply now – limited spots!",1
"We came across your profile and you’ve already made the first cut!",1
"Good day! In regard to your resume",1
"Work from home and earn up to ₹5000 daily",1
"No qualification required, freshers welcome",1
"Salary will be credited directly to your account daily",1
"You have been selected based on your profile",1
"This is a limited time opportunity",1
"Click the link below to confirm your selection",1
"Pay a small processing fee to activate your account",1
"Your training fee is fully refundable",1
"Start earning from day one",1
"Work only 2 hours a day and earn full salary",1
"No target, no pressure, just earn from home",1
"Government approved work from home scheme",1
"We are hiring urgently",1
"Immediate joining required",1
"Part time job with full time salary",1
"Send your details to claim your offer",1
"Registration is mandatory to secure your seat",1
"Your application has already been approved",1
"Complete simple tasks and get paid instantly",1
"We will train you for free before your first payment",1
"Our company is expanding and needs remote workers immediately",1
"Earn passive income without doing anything",1
"This role does not require any interview or test",1
"You will receive your first payment within 24 hours",1
"Join our WhatsApp group for further instructions",1
"Task based earning with daily withdrawal option",1
"Refer friends and earn bonus on every referral",1
"Your profile has been shortlisted by our HR team",1
"We found your resume on a job portal and you are selected",1
"No paperwork, no verification, start immediately",1
"You only need a smartphone to start earning",1
"Batch starting soon, register before seats are full",1
"Stipend of ₹15000 per week for part time work",1
"Offer valid only for today",1
"Do not share this link with others as seats are limited",1
"We guarantee placement in top companies after training",1
"Pay course fee and get job offer letter immediately",1
"This opportunity is available in your city only",1
"All you need to do is like, share and comment to earn",1
"Salary package of 40 LPA for freshers with no experience",1
"Hiring!!! apply fast limited seats!!",1
"We charge a refundable training fee after selection",1
"A nominal onboarding charge applies before your first assignment",1
"Your deposit will be returned once you complete the probation period",1
"Kindly transfer the documentation fee to proceed with your selection",1
"Activate your profile by paying a one time verification amount",1
"The fee is only to confirm your seriousness toward the role",1
"Your slot will be reserved upon receipt of the joining token amount",1
"An administrative charge is applicable for issuing your appointment letter",1
"The amount will be deducted from your first salary automatically",1
"You are among the top shortlisted profiles for this high paying remote role",1
"No degree needed, we value attitude over qualification",1
"Freshers are earning six figures within their first two weeks",1
"This program requires zero investment of time or effort",1
"Act before midnight tonight or your selection will be cancelled",1
"Your profile was handpicked from thousands of applicants",1
"Seats close once 50 registrations are received",1
"You will be trained by industry experts at no cost just a refundable security amount",1
